,school_name,school_slug,season,ranker,team_game_num_season,date,game_location,opp_name_abbr,game_type,team_game_result,team_game_score,opp_team_game_score,overtimes,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
92,Akron,akron,2023,31,31,2023-03-03,@,Kent State,REG (Conf),L,84,89,OT,25,57,0.439,8,27,0.296,17,30,0.567,0.509,26,32,0.813,5,20,25,13,7,3,12,21,30,58,0.517,7,19,0.368,23,39,0.59,0.578,22,25,0.88,7,26,33,13,7,4,13,25
93,Akron,akron,2023,32,32,2023-03-09,N,Buffalo,CTOURN,W,101,77,,36,61,0.59,13,25,0.52,23,36,0.639,0.697,16,19,0.842,6,27,33,18,5,2,12,23,26,66,0.394,6,23,0.261,20,43,0.465,0.439,19,25,0.76,12,19,31,5,7,1,12,21
94,Akron,akron,2023,33,33,2023-03-10,N,Kent State,CTOURN,L,73,79,,25,55,0.455,7,22,0.318,18,33,0.545,0.518,16,18,0.889,5,26,31,10,3,6,18,23,25,66,0.379,9,26,0.346,16,40,0.4,0.447,20,28,0.714,13,20,33,8,10,2,6,18
95,AlabamaNCAA,alabama,2023,1,1,2022-11-07,,Longwood,REG (Non-Conf),W,75,54,,27,69,0.391,3,28,0.107,24,41,0.585,0.413,18,26,0.692,19,43,62,10,6,9,19,18,19,71,0.268,5,13,0.385,14,58,0.241,0.303,11,19,0.579,12,23,35,8,8,3,9,22
96,AlabamaNCAA,alabama,2023,2,2,2022-11-11,,Liberty,REG (Non-Conf),W,95,59,,27,52,0.519,10,22,0.455,17,30,0.567,0.615,31,38,0.816,11,31,42,14,8,6,15,23,18,55,0.327,8,29,0.276,10,26,0.385,0.4,15,20,0.75,3,14,17,13,6,1,13,25
97,AlabamaNCAA,alabama,2023,3,3,2022-11-15,@,South Alabama,REG (Non-Conf),W,65,55,,22,68,0.324,10,35,0.286,12,33,0.364,0.397,11,20,0.55,24,34,58,11,4,9,20,18,21,71,0.296,2,23,0.087,19,48,0.396,0.31,11,18,0.611,13,23,36,4,7,5,9,16
98,AlabamaNCAA,alabama,2023,4,4,2022-11-18,,Jacksonville State,REG (Non-Conf),W,104,62,,34,66,0.515,21,46,0.457,13,20,0.65,0.674,15,21,0.714,17,28,45,23,6,5,13,20,19,54,0.352,9,24,0.375,10,30,0.333,0.435,15,21,0.714,7,15,22,9,6,0,13,21
99,AlabamaNCAA,alabama,2023,5,5,2022-11-24,N,Michigan State,REG (Non-Conf),W,81,70,,28,63,0.444,8,23,0.348,20,40,0.5,0.508,17,24,0.708,11,29,40,19,6,5,10,20,24,62,0.387,4,14,0.286,20,48,0.417,0.419,18,25,0.72,10,26,36,9,5,5,11,22
100,AlabamaNCAA,alabama,2023,6,6,2022-11-25,N,Connecticut,REG (Non-Conf),L,67,82,,21,50,0.42,6,16,0.375,15,34,0.441,0.48,19,25,0.76,7,25,32,10,4,6,19,23,26,60,0.433,9,24,0.375,17,36,0.472,0.508,21,24,0.875,8,22,30,18,8,7,11,23
101,AlabamaNCAA,alabama,2023,7,7,2022-11-27,N,North Carolina,REG (Non-Conf),W,103,101,4OT,37,90,0.411,16,38,0.421,21,52,0.404,0.5,13,21,0.619,14,35,49,21,6,6,21,22,38,91,0.418,7,23,0.304,31,68,0.456,0.456,18,20,0.9,13,36,49,15,12,10,18,23
